"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"12.02.2022 02:00 - 12.02.2022 03:00","25703","25334"
"12.02.2022 03:00 - 12.02.2022 04:00","25201","25012"
"12.02.2022 04:00 - 12.02.2022 05:00","25018","25272"
"12.02.2022 05:00 - 12.02.2022 06:00","25870","26127"
"12.02.2022 06:00 - 12.02.2022 07:00","28441","28703"
"12.02.2022 07:00 - 12.02.2022 08:00","31416","31628"
"12.02.2022 08:00 - 12.02.2022 09:00","33936","34884"
"12.02.2022 09:00 - 12.02.2022 10:00","35838","36549"
"12.02.2022 10:00 - 12.02.2022 11:00","35661","35834"
"12.02.2022 11:00 - 12.02.2022 12:00","34225","34267"
"12.02.2022 12:00 - 12.02.2022 13:00","32192","32537"
"12.02.2022 13:00 - 12.02.2022 14:00","30485","31178"
"12.02.2022 14:00 - 12.02.2022 15:00","29912","30348"
"12.02.2022 15:00 - 12.02.2022 16:00","29894","30594"
"12.02.2022 16:00 - 12.02.2022 17:00","30643","31006"
"12.02.2022 17:00 - 12.02.2022 18:00","32417","33056"
"12.02.2022 18:00 - 12.02.2022 19:00","36214","36643"
"12.02.2022 19:00 - 12.02.2022 20:00","37742","37073"
"12.02.2022 20:00 - 12.02.2022 21:00","36280","34938"
"12.02.2022 21:00 - 12.02.2022 22:00","33494","32178"
"12.02.2022 22:00 - 12.02.2022 23:00","30963","29735"
"12.02.2022 23:00 - 13.02.2022 00:00","28356","27444"
"13.02.2022 00:00 - 13.02.2022 01:00","25382","25172"
"13.02.2022 01:00 - 13.02.2022 02:00","23600","23440"
"13.02.2022 02:00 - 13.02.2022 03:00","22439","22521"
"13.02.2022 03:00 - 13.02.2022 04:00","21799","22028"
"13.02.2022 04:00 - 13.02.2022 05:00","21940","22011"
"13.02.2022 05:00 - 13.02.2022 06:00","22499","22465"
"13.02.2022 06:00 - 13.02.2022 07:00","23414","23841"
"13.02.2022 07:00 - 13.02.2022 08:00","24343","24667"
"13.02.2022 08:00 - 13.02.2022 09:00","26471","26556"
"13.02.2022 09:00 - 13.02.2022 10:00","28617","28153"
"13.02.2022 10:00 - 13.02.2022 11:00","29596","28689"
"13.02.2022 11:00 - 13.02.2022 12:00","29696","28738"
"13.02.2022 12:00 - 13.02.2022 13:00","29603","28471"
"13.02.2022 13:00 - 13.02.2022 14:00","28232","27018"
"13.02.2022 14:00 - 13.02.2022 15:00","27133","26241"
"13.02.2022 15:00 - 13.02.2022 16:00","27308","26717"
"13.02.2022 16:00 - 13.02.2022 17:00","27463","27463"
"13.02.2022 17:00 - 13.02.2022 18:00","29090","29518"
"13.02.2022 18:00 - 13.02.2022 19:00","32694","33310"
"13.02.2022 19:00 - 13.02.2022 20:00","34702","34758"
"13.02.2022 20:00 - 13.02.2022 21:00","34348","33541"
"13.02.2022 21:00 - 13.02.2022 22:00","32468","31248"
"13.02.2022 22:00 - 13.02.2022 23:00","29671","28786"
"13.02.2022 23:00 - 14.02.2022 00:00","26804","26136"
"14.02.2022 00:00 - 14.02.2022 01:00","23887","23758"
"14.02.2022 01:00 - 14.02.2022 02:00","22379","22486"
"14.02.2022 02:00 - 14.02.2022 03:00","21878","21990"
"14.02.2022 03:00 - 14.02.2022 04:00","21827","21946"
"14.02.2022 04:00 - 14.02.2022 05:00","22491","22774"
"14.02.2022 05:00 - 14.02.2022 06:00","24486","25085"
"14.02.2022 06:00 - 14.02.2022 07:00","30989","31670"
"14.02.2022 07:00 - 14.02.2022 08:00","37551","37934"
"14.02.2022 08:00 - 14.02.2022 09:00","41851","42754"
"14.02.2022 09:00 - 14.02.2022 10:00","43464","44109"
"14.02.2022 10:00 - 14.02.2022 11:00","42887","43568"
"14.02.2022 11:00 - 14.02.2022 12:00","42067","44000"
"14.02.2022 12:00 - 14.02.2022 13:00","40576","42174"
"14.02.2022 13:00 - 14.02.2022 14:00","40124","42161"
"14.02.2022 14:00 - 14.02.2022 15:00","40545","42799"
"14.02.2022 15:00 - 14.02.2022 16:00","41464","43507"
"14.02.2022 16:00 - 14.02.2022 17:00","41867","43583"
"14.02.2022 17:00 - 14.02.2022 18:00","41388","43572"
"14.02.2022 18:00 - 14.02.2022 19:00","43843","44406"
"14.02.2022 19:00 - 14.02.2022 20:00","43384","43661"
"14.02.2022 20:00 - 14.02.2022 21:00","41036","41076"
"14.02.2022 21:00 - 14.02.2022 22:00","38088","37814"
"14.02.2022 22:00 - 14.02.2022 23:00","34134","33905"
"14.02.2022 23:00 - 15.02.2022 00:00","30879","30900"
"15.02.2022 00:00 - 15.02.2022 01:00","28079","28255"
"15.02.2022 01:00 - 15.02.2022 02:00","26514","26781"
"15.02.2022 02:00 - 15.02.2022 03:00","25650","26051"
"15.02.2022 03:00 - 15.02.2022 04:00","25523","25839"
"15.02.2022 04:00 - 15.02.2022 05:00","25901","26264"
"15.02.2022 05:00 - 15.02.2022 06:00","27492","28092"
"15.02.2022 06:00 - 15.02.2022 07:00","32930","33359"
"15.02.2022 07:00 - 15.02.2022 08:00","39797","39331"
"15.02.2022 08:00 - 15.02.2022 09:00","44369","43794"
"15.02.2022 09:00 - 15.02.2022 10:00","45859","45722"
"15.02.2022 10:00 - 15.02.2022 11:00","44744","45792"
"15.02.2022 11:00 - 15.02.2022 12:00","44494","45394"
"15.02.2022 12:00 - 15.02.2022 13:00","41926","43261"
"15.02.2022 13:00 - 15.02.2022 14:00","40938","43638"
"15.02.2022 14:00 - 15.02.2022 15:00","42228","44016"
"15.02.2022 15:00 - 15.02.2022 16:00","42692","44019"
"15.02.2022 16:00 - 15.02.2022 17:00","43327","43869"
"15.02.2022 17:00 - 15.02.2022 18:00","44324","43424"
"15.02.2022 18:00 - 15.02.2022 19:00","45332","44605"
"15.02.2022 19:00 - 15.02.2022 20:00","45444","44210"
"15.02.2022 20:00 - 15.02.2022 21:00","43103","41439"
"15.02.2022 21:00 - 15.02.2022 22:00","39902","38321"
"15.02.2022 22:00 - 15.02.2022 23:00","36066","34344"
"15.02.2022 23:00 - 16.02.2022 00:00","32184","31127"
"16.02.2022 00:00 - 16.02.2022 01:00","28660","28522"
"16.02.2022 01:00 - 16.02.2022 02:00","27083","26899"
"16.02.2022 02:00 - 16.02.2022 03:00","26357","26159"
"16.02.2022 03:00 - 16.02.2022 04:00","26086","25970"
"16.02.2022 04:00 - 16.02.2022 05:00","26641","26440"
"16.02.2022 05:00 - 16.02.2022 06:00","28368","28458"
"16.02.2022 06:00 - 16.02.2022 07:00","33569","34056"
"16.02.2022 07:00 - 16.02.2022 08:00","39314","39833"
"16.02.2022 08:00 - 16.02.2022 09:00","43655","44443"
"16.02.2022 09:00 - 16.02.2022 10:00","45642","45640"
"16.02.2022 10:00 - 16.02.2022 11:00","45029","44077"
"16.02.2022 11:00 - 16.02.2022 12:00","44281","43156"
"16.02.2022 12:00 - 16.02.2022 13:00","42192","40605"
"16.02.2022 13:00 - 16.02.2022 14:00","41642","40520"
"16.02.2022 14:00 - 16.02.2022 15:00","42189","41848"
"16.02.2022 15:00 - 16.02.2022 16:00","42528","42295"
"16.02.2022 16:00 - 16.02.2022 17:00","42671","42615"
"16.02.2022 17:00 - 16.02.2022 18:00","43023","42817"
"16.02.2022 18:00 - 16.02.2022 19:00","45052","44852"
"16.02.2022 19:00 - 16.02.2022 20:00","44509","44336"
"16.02.2022 20:00 - 16.02.2022 21:00","41842","41780"
"16.02.2022 21:00 - 16.02.2022 22:00","38512","38455"
"16.02.2022 22:00 - 16.02.2022 23:00","34617","34650"
"16.02.2022 23:00 - 17.02.2022 00:00","31362","31258"
"17.02.2022 00:00 - 17.02.2022 01:00","28525","28488"
"17.02.2022 01:00 - 17.02.2022 02:00","26902","26789"
"17.02.2022 02:00 - 17.02.2022 03:00","26153","25994"
"17.02.2022 03:00 - 17.02.2022 04:00","26018","25916"
"17.02.2022 04:00 - 17.02.2022 05:00","26421","26390"
"17.02.2022 05:00 - 17.02.2022 06:00","28117","28234"
"17.02.2022 06:00 - 17.02.2022 07:00","33208","33782"
"17.02.2022 07:00 - 17.02.2022 08:00","38972","39690"
"17.02.2022 08:00 - 17.02.2022 09:00","43645","43729"
"17.02.2022 09:00 - 17.02.2022 10:00","45318","44303"
"17.02.2022 10:00 - 17.02.2022 11:00","43855","44131"
"17.02.2022 11:00 - 17.02.2022 12:00","42720","43173"
"17.02.2022 12:00 - 17.02.2022 13:00","40456","40203"
"17.02.2022 13:00 - 17.02.2022 14:00","39505","39739"
"17.02.2022 14:00 - 17.02.2022 15:00","41049","40348"
"17.02.2022 15:00 - 17.02.2022 16:00","41387","41096"
"17.02.2022 16:00 - 17.02.2022 17:00","42025","41235"
"17.02.2022 17:00 - 17.02.2022 18:00","42002","41530"
"17.02.2022 18:00 - 17.02.2022 19:00","44385","43790"
"17.02.2022 19:00 - 17.02.2022 20:00","44510","43748"
"17.02.2022 20:00 - 17.02.2022 21:00","41770","41384"
"17.02.2022 21:00 - 17.02.2022 22:00","38499","38255"
"17.02.2022 22:00 - 17.02.2022 23:00","34626","34203"
"17.02.2022 23:00 - 18.02.2022 00:00","31177","31080"
"18.02.2022 00:00 - 18.02.2022 01:00","28709","28373"
"18.02.2022 01:00 - 18.02.2022 02:00","26907","26890"
"18.02.2022 02:00 - 18.02.2022 03:00","25954","26018"
"18.02.2022 03:00 - 18.02.2022 04:00","25785","25699"
"18.02.2022 04:00 - 18.02.2022 05:00","26275","26205"
"18.02.2022 05:00 - 18.02.2022 06:00","28082","28258"
"18.02.2022 06:00 - 18.02.2022 07:00","33336","33734"
"18.02.2022 07:00 - 18.02.2022 08:00","39374","39008"
"18.02.2022 08:00 - 18.02.2022 09:00","43447","42757"
"18.02.2022 09:00 - 18.02.2022 10:00","44278","43533"
"18.02.2022 10:00 - 18.02.2022 11:00","44025","42930"
"18.02.2022 11:00 - 18.02.2022 12:00","43044","42171"
"18.02.2022 12:00 - 18.02.2022 13:00","40256","40164"
"18.02.2022 13:00 - 18.02.2022 14:00","39034","40109"
"18.02.2022 14:00 - 18.02.2022 15:00","38918","40722"
"18.02.2022 15:00 - 18.02.2022 16:00","39444","40978"
"18.02.2022 16:00 - 18.02.2022 17:00","39581","41253"
"18.02.2022 17:00 - 18.02.2022 18:00","40333","41771"
"18.02.2022 18:00 - 18.02.2022 19:00","42977","43754"
"18.02.2022 19:00 - 18.02.2022 20:00","43696","43092"
"18.02.2022 20:00 - 18.02.2022 21:00","41068","40646"
"18.02.2022 21:00 - 18.02.2022 22:00","37703","37456"
"18.02.2022 22:00 - 18.02.2022 23:00","34100","33938"
"18.02.2022 23:00 - 19.02.2022 00:00","30757","30703"
"19.02.2022 00:00 - 19.02.2022 01:00","28274","27874"
"19.02.2022 01:00 - 19.02.2022 02:00","26485","26061"
"19.02.2022 02:00 - 19.02.2022 03:00","25410","25210"
"19.02.2022 03:00 - 19.02.2022 04:00","24827","25192"
"19.02.2022 04:00 - 19.02.2022 05:00","24850","25174"
"19.02.2022 05:00 - 19.02.2022 06:00","25593","25918"
"19.02.2022 06:00 - 19.02.2022 07:00","27893","28303"
"19.02.2022 07:00 - 19.02.2022 08:00","30484","31098"
"19.02.2022 08:00 - 19.02.2022 09:00","32927","34063"
"19.02.2022 09:00 - 19.02.2022 10:00","34558","35512"
"19.02.2022 10:00 - 19.02.2022 11:00","34510","35041"
"19.02.2022 11:00 - 19.02.2022 12:00","33676","33642"
"19.02.2022 12:00 - 19.02.2022 13:00","32537","31849"
"19.02.2022 13:00 - 19.02.2022 14:00","31422","30090"
"19.02.2022 14:00 - 19.02.2022 15:00","30844","29828"
"19.02.2022 15:00 - 19.02.2022 16:00","30757","29944"
"19.02.2022 16:00 - 19.02.2022 17:00","31081","30739"
"19.02.2022 17:00 - 19.02.2022 18:00","32369","32578"
"19.02.2022 18:00 - 19.02.2022 19:00","35876","35808"
"19.02.2022 19:00 - 19.02.2022 20:00","37170","36514"
"19.02.2022 20:00 - 19.02.2022 21:00","35514","34151"
"19.02.2022 21:00 - 19.02.2022 22:00","32834","31546"
"19.02.2022 22:00 - 19.02.2022 23:00","30159","28775"
"19.02.2022 23:00 - 20.02.2022 00:00","27529","26597"
"20.02.2022 00:00 - 20.02.2022 01:00","25463","24609"
"20.02.2022 01:00 - 20.02.2022 02:00","23723","22861"
"20.02.2022 02:00 - 20.02.2022 03:00","22646","21883"
"20.02.2022 03:00 - 20.02.2022 04:00","22425","21540"
"20.02.2022 04:00 - 20.02.2022 05:00","22002","21520"
"20.02.2022 05:00 - 20.02.2022 06:00","22259","22035"
"20.02.2022 06:00 - 20.02.2022 07:00","23237","23171"
"20.02.2022 07:00 - 20.02.2022 08:00","24159","23846"
"20.02.2022 08:00 - 20.02.2022 09:00","26076","25777"
"20.02.2022 09:00 - 20.02.2022 10:00","28445","27423"
"20.02.2022 10:00 - 20.02.2022 11:00","29390","27922"
"20.02.2022 11:00 - 20.02.2022 12:00","29304","27515"
"20.02.2022 12:00 - 20.02.2022 13:00","28162","27275"
"20.02.2022 13:00 - 20.02.2022 14:00","26247","25875"
"20.02.2022 14:00 - 20.02.2022 15:00","25644","25764"
"20.02.2022 15:00 - 20.02.2022 16:00","25902","25897"
"20.02.2022 16:00 - 20.02.2022 17:00","26470","26222"
"20.02.2022 17:00 - 20.02.2022 18:00","28823","27875"
"20.02.2022 18:00 - 20.02.2022 19:00","32288","31736"
"20.02.2022 19:00 - 20.02.2022 20:00","34157","33271"
"20.02.2022 20:00 - 20.02.2022 21:00","33234","32168"
"20.02.2022 21:00 - 20.02.2022 22:00","31376","30254"
"20.02.2022 22:00 - 20.02.2022 23:00","28990","27769"
"20.02.2022 23:00 - 21.02.2022 00:00","26547","25000"
"21.02.2022 00:00 - 21.02.2022 01:00","23244","22946"
"21.02.2022 01:00 - 21.02.2022 02:00","22040","21825"
"21.02.2022 02:00 - 21.02.2022 03:00","21405","21279"
"21.02.2022 03:00 - 21.02.2022 04:00","21363","21364"
"21.02.2022 04:00 - 21.02.2022 05:00","22038","21940"
"21.02.2022 05:00 - 21.02.2022 06:00","24137","24350"
"21.02.2022 06:00 - 21.02.2022 07:00","30141","30534"
"21.02.2022 07:00 - 21.02.2022 08:00","35927","36076"
"21.02.2022 08:00 - 21.02.2022 09:00","40878","40508"
"21.02.2022 09:00 - 21.02.2022 10:00","42396","41543"
"21.02.2022 10:00 - 21.02.2022 11:00","42863","41892"
"21.02.2022 11:00 - 21.02.2022 12:00","42556","41742"
"21.02.2022 12:00 - 21.02.2022 13:00","40628","39585"
"21.02.2022 13:00 - 21.02.2022 14:00","39847","39271"
"21.02.2022 14:00 - 21.02.2022 15:00","40571","39909"
"21.02.2022 15:00 - 21.02.2022 16:00","41305","39953"
"21.02.2022 16:00 - 21.02.2022 17:00","41721","40198"
"21.02.2022 17:00 - 21.02.2022 18:00","41694","40195"
"21.02.2022 18:00 - 21.02.2022 19:00","42376","41875"
"21.02.2022 19:00 - 21.02.2022 20:00","42995","41787"
"21.02.2022 20:00 - 21.02.2022 21:00","40231","39517"
"21.02.2022 21:00 - 21.02.2022 22:00","36845","36765"
"21.02.2022 22:00 - 21.02.2022 23:00","32919","33005"
"21.02.2022 23:00 - 22.02.2022 00:00","29875","30028"
"22.02.2022 00:00 - 22.02.2022 01:00","27914","27620"
"22.02.2022 01:00 - 22.02.2022 02:00","26411","26145"
"22.02.2022 02:00 - 22.02.2022 03:00","25449","25509"
"22.02.2022 03:00 - 22.02.2022 04:00","25296","25323"
"22.02.2022 04:00 - 22.02.2022 05:00","25512","25761"
"22.02.2022 05:00 - 22.02.2022 06:00","27488","27551"
"22.02.2022 06:00 - 22.02.2022 07:00","32510","32812"
"22.02.2022 07:00 - 22.02.2022 08:00","37888","38204"
"22.02.2022 08:00 - 22.02.2022 09:00","42540","42152"
"22.02.2022 09:00 - 22.02.2022 10:00","43962","43011"
"22.02.2022 10:00 - 22.02.2022 11:00","44352","42021"
"22.02.2022 11:00 - 22.02.2022 12:00","43330","41578"
"22.02.2022 12:00 - 22.02.2022 13:00","41788","39425"
"22.02.2022 13:00 - 22.02.2022 14:00","41016","39257"
"22.02.2022 14:00 - 22.02.2022 15:00","41854","40641"
"22.02.2022 15:00 - 22.02.2022 16:00","42283","40925"
"22.02.2022 16:00 - 22.02.2022 17:00","42264","40810"
"22.02.2022 17:00 - 22.02.2022 18:00","42329","40533"
"22.02.2022 18:00 - 22.02.2022 19:00","44260","42743"
"22.02.2022 19:00 - 22.02.2022 20:00","43861","42700"
"22.02.2022 20:00 - 22.02.2022 21:00","41922","40432"
"22.02.2022 21:00 - 22.02.2022 22:00","39125","37409"
"22.02.2022 22:00 - 22.02.2022 23:00","35107","33505"
"22.02.2022 23:00 - 23.02.2022 00:00","31401","30351"
"23.02.2022 00:00 - 23.02.2022 01:00","27779","27687"
"23.02.2022 01:00 - 23.02.2022 02:00","26257","26340"
"23.02.2022 02:00 - 23.02.2022 03:00","25605","25557"
"23.02.2022 03:00 - 23.02.2022 04:00","25415","25557"
"23.02.2022 04:00 - 23.02.2022 05:00","25855","25873"
"23.02.2022 05:00 - 23.02.2022 06:00","27586","27784"
"23.02.2022 06:00 - 23.02.2022 07:00","32396","33181"
"23.02.2022 07:00 - 23.02.2022 08:00","37779","38444"
"23.02.2022 08:00 - 23.02.2022 09:00","41889","42595"
"23.02.2022 09:00 - 23.02.2022 10:00","42826","42969"
"23.02.2022 10:00 - 23.02.2022 11:00","41347","41933"
"23.02.2022 11:00 - 23.02.2022 12:00","41159","40864"
"23.02.2022 12:00 - 23.02.2022 13:00","39015","38523"
"23.02.2022 13:00 - 23.02.2022 14:00","38846","38352"
"23.02.2022 14:00 - 23.02.2022 15:00","39431","39476"
"23.02.2022 15:00 - 23.02.2022 16:00","39757","40206"
"23.02.2022 16:00 - 23.02.2022 17:00","40147","40189"
"23.02.2022 17:00 - 23.02.2022 18:00","40288","40021"
"23.02.2022 18:00 - 23.02.2022 19:00","42436","42905"
"23.02.2022 19:00 - 23.02.2022 20:00","42888","43062"
"23.02.2022 20:00 - 23.02.2022 21:00","40781","40683"
"23.02.2022 21:00 - 23.02.2022 22:00","37951","37499"
"23.02.2022 22:00 - 23.02.2022 23:00","34363","33722"
"23.02.2022 23:00 - 24.02.2022 00:00","30881","30308"
"24.02.2022 00:00 - 24.02.2022 01:00","28132","27816"
"24.02.2022 01:00 - 24.02.2022 02:00","26835","26200"
"24.02.2022 02:00 - 24.02.2022 03:00","25976","25566"
"24.02.2022 03:00 - 24.02.2022 04:00","25916","25437"
"24.02.2022 04:00 - 24.02.2022 05:00","26136","25725"
"24.02.2022 05:00 - 24.02.2022 06:00","27647","27565"
"24.02.2022 06:00 - 24.02.2022 07:00","32178","32913"
"24.02.2022 07:00 - 24.02.2022 08:00","37546","38159"
"24.02.2022 08:00 - 24.02.2022 09:00","41960","41867"
"24.02.2022 09:00 - 24.02.2022 10:00","42478","42378"
"24.02.2022 10:00 - 24.02.2022 11:00","41824","41445"
"24.02.2022 11:00 - 24.02.2022 12:00","41161","40406"
"24.02.2022 12:00 - 24.02.2022 13:00","39732","38353"
"24.02.2022 13:00 - 24.02.2022 14:00","39327","38416"
"24.02.2022 14:00 - 24.02.2022 15:00","39786","39256"
"24.02.2022 15:00 - 24.02.2022 16:00","40516","40046"
"24.02.2022 16:00 - 24.02.2022 17:00","41009","40105"
"24.02.2022 17:00 - 24.02.2022 18:00","40696","40154"
"24.02.2022 18:00 - 24.02.2022 19:00","41947","42597"
"24.02.2022 19:00 - 24.02.2022 20:00","42992","42622"
"24.02.2022 20:00 - 24.02.2022 21:00","40683","40186"
"24.02.2022 21:00 - 24.02.2022 22:00","38092","37322"
"24.02.2022 22:00 - 24.02.2022 23:00","34489","33448"
"24.02.2022 23:00 - 25.02.2022 00:00","30892","30169"
"25.02.2022 00:00 - 25.02.2022 01:00","27825","27674"
"25.02.2022 01:00 - 25.02.2022 02:00","26167","26266"
"25.02.2022 02:00 - 25.02.2022 03:00","25428","25503"
"25.02.2022 03:00 - 25.02.2022 04:00","25216","25284"
"25.02.2022 04:00 - 25.02.2022 05:00","25450","25697"
"25.02.2022 05:00 - 25.02.2022 06:00","27107","27565"
"25.02.2022 06:00 - 25.02.2022 07:00","32419","32815"
"25.02.2022 07:00 - 25.02.2022 08:00","37757","37929"
"25.02.2022 08:00 - 25.02.2022 09:00","41855","41966"
"25.02.2022 09:00 - 25.02.2022 10:00","43119","42536"
"25.02.2022 10:00 - 25.02.2022 11:00","42201","41609"
"25.02.2022 11:00 - 25.02.2022 12:00","41398","40224"
"25.02.2022 12:00 - 25.02.2022 13:00","38840","38354"
"25.02.2022 13:00 - 25.02.2022 14:00","38368","37940"
"25.02.2022 14:00 - 25.02.2022 15:00","38694","38867"
"25.02.2022 15:00 - 25.02.2022 16:00","39802","39202"
"25.02.2022 16:00 - 25.02.2022 17:00","39811","39048"
"25.02.2022 17:00 - 25.02.2022 18:00","39937","39434"
"25.02.2022 18:00 - 25.02.2022 19:00","41589","41864"
"25.02.2022 19:00 - 25.02.2022 20:00","42771","42057"
"25.02.2022 20:00 - 25.02.2022 21:00","40169","39606"
"25.02.2022 21:00 - 25.02.2022 22:00","37088","36667"
"25.02.2022 22:00 - 25.02.2022 23:00","33618","33160"
"25.02.2022 23:00 - 26.02.2022 00:00","30257","30000"
"26.02.2022 00:00 - 26.02.2022 01:00","27692","27703"
"26.02.2022 01:00 - 26.02.2022 02:00","25956","25965"
"26.02.2022 02:00 - 26.02.2022 03:00","24951","24905"
"26.02.2022 03:00 - 26.02.2022 04:00","24525","24471"
"26.02.2022 04:00 - 26.02.2022 05:00","24498","24498"
"26.02.2022 05:00 - 26.02.2022 06:00","25110","25524"
"26.02.2022 06:00 - 26.02.2022 07:00","27571","28069"
"26.02.2022 07:00 - 26.02.2022 08:00","29976","30751"
"26.02.2022 08:00 - 26.02.2022 09:00","32659","33373"
"26.02.2022 09:00 - 26.02.2022 10:00","34156","34393"
"26.02.2022 10:00 - 26.02.2022 11:00","33838","33944"
"26.02.2022 11:00 - 26.02.2022 12:00","32288","33043"
"26.02.2022 12:00 - 26.02.2022 13:00","30433","31373"
"26.02.2022 13:00 - 26.02.2022 14:00","29206","30380"
"26.02.2022 14:00 - 26.02.2022 15:00","28822","29872"
"26.02.2022 15:00 - 26.02.2022 16:00","29269","29907"
"26.02.2022 16:00 - 26.02.2022 17:00","29662","30606"
"26.02.2022 17:00 - 26.02.2022 18:00","31050","31988"
"26.02.2022 18:00 - 26.02.2022 19:00","34537","35615"
"26.02.2022 19:00 - 26.02.2022 20:00","36534","36684"
"26.02.2022 20:00 - 26.02.2022 21:00","34542","34198"
"26.02.2022 21:00 - 26.02.2022 22:00","32132","31468"
"26.02.2022 22:00 - 26.02.2022 23:00","29584","28869"
"26.02.2022 23:00 - 27.02.2022 00:00","27016","26528"
"27.02.2022 00:00 - 27.02.2022 01:00","24823","24724"
"27.02.2022 01:00 - 27.02.2022 02:00","23146","22902"
"27.02.2022 02:00 - 27.02.2022 03:00","21953","21951"
"27.02.2022 03:00 - 27.02.2022 04:00","21308","21559"
"27.02.2022 04:00 - 27.02.2022 05:00","21148","21572"
"27.02.2022 05:00 - 27.02.2022 06:00","21790","22174"
"27.02.2022 06:00 - 27.02.2022 07:00","22897","23314"
"27.02.2022 07:00 - 27.02.2022 08:00","23490","24222"
"27.02.2022 08:00 - 27.02.2022 09:00","25163","26908"
"27.02.2022 09:00 - 27.02.2022 10:00","26524","28651"
"27.02.2022 10:00 - 27.02.2022 11:00","27508","29586"
"27.02.2022 11:00 - 27.02.2022 12:00","27984","29787"
"27.02.2022 12:00 - 27.02.2022 13:00","28087","29471"
"27.02.2022 13:00 - 27.02.2022 14:00","27222","27146"
"27.02.2022 14:00 - 27.02.2022 15:00","26340","26159"
"27.02.2022 15:00 - 27.02.2022 16:00","26469","26139"
"27.02.2022 16:00 - 27.02.2022 17:00","26576","26651"
"27.02.2022 17:00 - 27.02.2022 18:00","27607","28403"
"27.02.2022 18:00 - 27.02.2022 19:00","30526","32011"
"27.02.2022 19:00 - 27.02.2022 20:00","33153","33657"
"27.02.2022 20:00 - 27.02.2022 21:00","32675","32571"
"27.02.2022 21:00 - 27.02.2022 22:00","31055","30570"
"27.02.2022 22:00 - 27.02.2022 23:00","28557","27995"
"27.02.2022 23:00 - 28.02.2022 00:00","25921","25214"
"28.02.2022 00:00 - 28.02.2022 01:00","23743","23210"
"28.02.2022 01:00 - 28.02.2022 02:00","22408","21970"
"28.02.2022 02:00 - 28.02.2022 03:00","21964","21554"
"28.02.2022 03:00 - 28.02.2022 04:00","21806","21560"
"28.02.2022 04:00 - 28.02.2022 05:00","22385","22200"
"28.02.2022 05:00 - 28.02.2022 06:00","24637","24677"
"28.02.2022 06:00 - 28.02.2022 07:00","29709","30704"
"28.02.2022 07:00 - 28.02.2022 08:00","36081","36489"
"28.02.2022 08:00 - 28.02.2022 09:00","42044","41398"
"28.02.2022 09:00 - 28.02.2022 10:00","43680","42017"
"28.02.2022 10:00 - 28.02.2022 11:00","43585","41259"
"28.02.2022 11:00 - 28.02.2022 12:00","43554","40631"
"28.02.2022 12:00 - 28.02.2022 13:00","41326","39228"
"28.02.2022 13:00 - 28.02.2022 14:00","41670","39198"
"28.02.2022 14:00 - 28.02.2022 15:00","42315","39886"
"28.02.2022 15:00 - 28.02.2022 16:00","42616","40325"
"28.02.2022 16:00 - 28.02.2022 17:00","43035","40446"
"28.02.2022 17:00 - 28.02.2022 18:00","42259","40241"
"28.02.2022 18:00 - 28.02.2022 19:00","42982","42621"
"28.02.2022 19:00 - 28.02.2022 20:00","42909","43011"
"28.02.2022 20:00 - 28.02.2022 21:00","40353","40609"
"28.02.2022 21:00 - 28.02.2022 22:00","37483","37534"
"28.02.2022 22:00 - 28.02.2022 23:00","33632","33698"
"28.02.2022 23:00 - 01.03.2022 00:00","30313","30535"
"01.03.2022 00:00 - 01.03.2022 01:00","27510","28405"
"01.03.2022 01:00 - 01.03.2022 02:00","26003","26931"
"01.03.2022 02:00 - 01.03.2022 03:00","25402","26028"
"01.03.2022 03:00 - 01.03.2022 04:00","25337","25892"
"01.03.2022 04:00 - 01.03.2022 05:00","25663","26211"
"01.03.2022 05:00 - 01.03.2022 06:00","27552","28047"
"01.03.2022 06:00 - 01.03.2022 07:00","32778","32928"
"01.03.2022 07:00 - 01.03.2022 08:00","38315","38358"
"01.03.2022 08:00 - 01.03.2022 09:00","43135","43598"
"01.03.2022 09:00 - 01.03.2022 10:00","43667","45070"
"01.03.2022 10:00 - 01.03.2022 11:00","42504","44597"
"01.03.2022 11:00 - 01.03.2022 12:00","41761","44756"
"01.03.2022 12:00 - 01.03.2022 13:00","40206","42207"
"01.03.2022 13:00 - 01.03.2022 14:00","38897","41371"
"01.03.2022 14:00 - 01.03.2022 15:00","39294","42177"
"01.03.2022 15:00 - 01.03.2022 16:00","39969","42472"
"01.03.2022 16:00 - 01.03.2022 17:00","39890","42363"
"01.03.2022 17:00 - 01.03.2022 18:00","40093","41904"
"01.03.2022 18:00 - 01.03.2022 19:00","42004","44174"
"01.03.2022 19:00 - 01.03.2022 20:00","42531","44609"
"01.03.2022 20:00 - 01.03.2022 21:00","40445","41900"
"01.03.2022 21:00 - 01.03.2022 22:00","37539","38753"
"01.03.2022 22:00 - 01.03.2022 23:00","33497","34890"
"01.03.2022 23:00 - 02.03.2022 00:00","30068","31553"
"02.03.2022 00:00 - 02.03.2022 01:00","28865","28630"
"02.03.2022 01:00 - 02.03.2022 02:00","27259","26982"
"02.03.2022 02:00 - 02.03.2022 03:00","26292","26290"
"02.03.2022 03:00 - 02.03.2022 04:00","26145","26094"
"02.03.2022 04:00 - 02.03.2022 05:00","26233","26629"
