"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Hungary (HU)","Actual Total Load [MW] - Hungary (HU)"
"25.09.2022 10:00 - 25.09.2022 10:15","4485","4562"
"25.09.2022 10:15 - 25.09.2022 10:30","4493","4601"
"25.09.2022 10:30 - 25.09.2022 10:45","4501","4621"
"25.09.2022 10:45 - 25.09.2022 11:00","4506","4633"
"25.09.2022 11:00 - 25.09.2022 11:15","4512","4726"
"25.09.2022 11:15 - 25.09.2022 11:30","4494","4748"
"25.09.2022 11:30 - 25.09.2022 11:45","4473","4754"
"25.09.2022 11:45 - 25.09.2022 12:00","4462","4747"
"25.09.2022 12:00 - 25.09.2022 12:15","4471","4744"
"25.09.2022 12:15 - 25.09.2022 12:30","4466","4724"
"25.09.2022 12:30 - 25.09.2022 12:45","4471","4679"
"25.09.2022 12:45 - 25.09.2022 13:00","4461","4624"
"25.09.2022 13:00 - 25.09.2022 13:15","4433","4589"
"25.09.2022 13:15 - 25.09.2022 13:30","4418","4548"
"25.09.2022 13:30 - 25.09.2022 13:45","4403","4515"
"25.09.2022 13:45 - 25.09.2022 14:00","4363","4494"
"25.09.2022 14:00 - 25.09.2022 14:15","4411","4509"
"25.09.2022 14:15 - 25.09.2022 14:30","4423","4531"
"25.09.2022 14:30 - 25.09.2022 14:45","4434","4516"
"25.09.2022 14:45 - 25.09.2022 15:00","4454","4555"
"25.09.2022 15:00 - 25.09.2022 15:15","4478","4570"
"25.09.2022 15:15 - 25.09.2022 15:30","4494","4573"
"25.09.2022 15:30 - 25.09.2022 15:45","4500","4578"
"25.09.2022 15:45 - 25.09.2022 16:00","4516","4629"
"25.09.2022 16:00 - 25.09.2022 16:15","4527","4677"
"25.09.2022 16:15 - 25.09.2022 16:30","4519","4713"
"25.09.2022 16:30 - 25.09.2022 16:45","4523","4703"
"25.09.2022 16:45 - 25.09.2022 17:00","4529","4721"
"25.09.2022 17:00 - 25.09.2022 17:15","4544","4745"
"25.09.2022 17:15 - 25.09.2022 17:30","4555","4763"
"25.09.2022 17:30 - 25.09.2022 17:45","4575","4759"
"25.09.2022 17:45 - 25.09.2022 18:00","4593","4803"
"25.09.2022 18:00 - 25.09.2022 18:15","4615","4859"
"25.09.2022 18:15 - 25.09.2022 18:30","4624","4902"
"25.09.2022 18:30 - 25.09.2022 18:45","4645","4996"
"25.09.2022 18:45 - 25.09.2022 19:00","4671","5127"
"25.09.2022 19:00 - 25.09.2022 19:15","4698","5220"
"25.09.2022 19:15 - 25.09.2022 19:30","4722","5200"
"25.09.2022 19:30 - 25.09.2022 19:45","4734","5205"
"25.09.2022 19:45 - 25.09.2022 20:00","4689","5148"
"25.09.2022 20:00 - 25.09.2022 20:15","4631","5083"
"25.09.2022 20:15 - 25.09.2022 20:30","4569","5026"
"25.09.2022 20:30 - 25.09.2022 20:45","4541","4967"
"25.09.2022 20:45 - 25.09.2022 21:00","4441","4880"
"25.09.2022 21:00 - 25.09.2022 21:15","4383","4810"
"25.09.2022 21:15 - 25.09.2022 21:30","4285","4730"
"25.09.2022 21:30 - 25.09.2022 21:45","4217","4630"
"25.09.2022 21:45 - 25.09.2022 22:00","4157","4558"
"25.09.2022 22:00 - 25.09.2022 22:15","4058","4447"
"25.09.2022 22:15 - 25.09.2022 22:30","4024","4411"
"25.09.2022 22:30 - 25.09.2022 22:45","3982","4345"
"25.09.2022 22:45 - 25.09.2022 23:00","3912","4262"
"25.09.2022 23:00 - 25.09.2022 23:15","3851","4184"
"25.09.2022 23:15 - 25.09.2022 23:30","3812","4137"
"25.09.2022 23:30 - 25.09.2022 23:45","3761","4111"
"25.09.2022 23:45 - 26.09.2022 00:00","3690","4050"
"26.09.2022 00:00 - 26.09.2022 00:15","3658","3909"
"26.09.2022 00:15 - 26.09.2022 00:30","3577","3900"
"26.09.2022 00:30 - 26.09.2022 00:45","3582","3883"
"26.09.2022 00:45 - 26.09.2022 01:00","3567","3841"
"26.09.2022 01:00 - 26.09.2022 01:15","3545","3777"
"26.09.2022 01:15 - 26.09.2022 01:30","3503","3755"
"26.09.2022 01:30 - 26.09.2022 01:45","3487","3720"
"26.09.2022 01:45 - 26.09.2022 02:00","3522","3659"
"26.09.2022 02:00 - 26.09.2022 02:15","3492","3641"
"26.09.2022 02:15 - 26.09.2022 02:30","3501","3636"
"26.09.2022 02:30 - 26.09.2022 02:45","3469","3623"
"26.09.2022 02:45 - 26.09.2022 03:00","3474","3601"
"26.09.2022 03:00 - 26.09.2022 03:15","3450","3641"
"26.09.2022 03:15 - 26.09.2022 03:30","3442","3643"
"26.09.2022 03:30 - 26.09.2022 03:45","3434","3648"
"26.09.2022 03:45 - 26.09.2022 04:00","3428","3652"
"26.09.2022 04:00 - 26.09.2022 04:15","3486","3706"
"26.09.2022 04:15 - 26.09.2022 04:30","3518","3739"
"26.09.2022 04:30 - 26.09.2022 04:45","3558","3783"
"26.09.2022 04:45 - 26.09.2022 05:00","3610","3887"
"26.09.2022 05:00 - 26.09.2022 05:15","3656","4002"
"26.09.2022 05:15 - 26.09.2022 05:30","3732","4109"
"26.09.2022 05:30 - 26.09.2022 05:45","3806","4217"
"26.09.2022 05:45 - 26.09.2022 06:00","3919","4382"
"26.09.2022 06:00 - 26.09.2022 06:15","4196","4692"
"26.09.2022 06:15 - 26.09.2022 06:30","4426","4907"
"26.09.2022 06:30 - 26.09.2022 06:45","4530","5020"
"26.09.2022 06:45 - 26.09.2022 07:00","4651","5093"
"26.09.2022 07:00 - 26.09.2022 07:15","4827","5231"
"26.09.2022 07:15 - 26.09.2022 07:30","4910","5304"
"26.09.2022 07:30 - 26.09.2022 07:45","4972","5372"
"26.09.2022 07:45 - 26.09.2022 08:00","4999","5412"
"26.09.2022 08:00 - 26.09.2022 08:15","5061","5428"
"26.09.2022 08:15 - 26.09.2022 08:30","5067","5468"
"26.09.2022 08:30 - 26.09.2022 08:45","5176","5489"
"26.09.2022 08:45 - 26.09.2022 09:00","5186","5490"
"26.09.2022 09:00 - 26.09.2022 09:15","5171","5463"
"26.09.2022 09:15 - 26.09.2022 09:30","5180","5473"
"26.09.2022 09:30 - 26.09.2022 09:45","5182","5476"
"26.09.2022 09:45 - 26.09.2022 10:00","5133","5450"
"26.09.2022 10:00 - 26.09.2022 10:15","5074","5429"
"26.09.2022 10:15 - 26.09.2022 10:30","5100","5415"
"26.09.2022 10:30 - 26.09.2022 10:45","5081","5376"
"26.09.2022 10:45 - 26.09.2022 11:00","5044","5348"
"26.09.2022 11:00 - 26.09.2022 11:15","5014","5315"
"26.09.2022 11:15 - 26.09.2022 11:30","5084","5290"
"26.09.2022 11:30 - 26.09.2022 11:45","5070","5245"
"26.09.2022 11:45 - 26.09.2022 12:00","5013","5215"
"26.09.2022 12:00 - 26.09.2022 12:15","5036","5220"
"26.09.2022 12:15 - 26.09.2022 12:30","5047","5224"
"26.09.2022 12:30 - 26.09.2022 12:45","5146","5254"
"26.09.2022 12:45 - 26.09.2022 13:00","5088","5206"
"26.09.2022 13:00 - 26.09.2022 13:15","5138","5208"
"26.09.2022 13:15 - 26.09.2022 13:30","5187","5170"
"26.09.2022 13:30 - 26.09.2022 13:45","5160","5115"
"26.09.2022 13:45 - 26.09.2022 14:00","4982","5008"
"26.09.2022 14:00 - 26.09.2022 14:15","4964","5040"
"26.09.2022 14:15 - 26.09.2022 14:30","5077","5008"
"26.09.2022 14:30 - 26.09.2022 14:45","5130","5021"
"26.09.2022 14:45 - 26.09.2022 15:00","5091","5039"
"26.09.2022 15:00 - 26.09.2022 15:15","5085","5030"
"26.09.2022 15:15 - 26.09.2022 15:30","5035","5042"
"26.09.2022 15:30 - 26.09.2022 15:45","5076","5103"
"26.09.2022 15:45 - 26.09.2022 16:00","5157","5105"
"26.09.2022 16:00 - 26.09.2022 16:15","5176","5100"
"26.09.2022 16:15 - 26.09.2022 16:30","5150","5149"
"26.09.2022 16:30 - 26.09.2022 16:45","5175","5184"
"26.09.2022 16:45 - 26.09.2022 17:00","5167","5192"
"26.09.2022 17:00 - 26.09.2022 17:15","5112","5201"
"26.09.2022 17:15 - 26.09.2022 17:30","5099","5218"
"26.09.2022 17:30 - 26.09.2022 17:45","5086","5236"
"26.09.2022 17:45 - 26.09.2022 18:00","5110","5260"
"26.09.2022 18:00 - 26.09.2022 18:15","5115","5316"
"26.09.2022 18:15 - 26.09.2022 18:30","5152","5391"
"26.09.2022 18:30 - 26.09.2022 18:45","5239","5494"
"26.09.2022 18:45 - 26.09.2022 19:00","5300","5641"
"26.09.2022 19:00 - 26.09.2022 19:15","5411","5745"
"26.09.2022 19:15 - 26.09.2022 19:30","5487","5752"
"26.09.2022 19:30 - 26.09.2022 19:45","5510","5729"
"26.09.2022 19:45 - 26.09.2022 20:00","5484","5688"
"26.09.2022 20:00 - 26.09.2022 20:15","5386","5610"
"26.09.2022 20:15 - 26.09.2022 20:30","5304","5548"
"26.09.2022 20:30 - 26.09.2022 20:45","5227","5490"
"26.09.2022 20:45 - 26.09.2022 21:00","5154","5384"
"26.09.2022 21:00 - 26.09.2022 21:15","5045","5270"
"26.09.2022 21:15 - 26.09.2022 21:30","4946","5163"
"26.09.2022 21:30 - 26.09.2022 21:45","4820","5070"
"26.09.2022 21:45 - 26.09.2022 22:00","4700","4970"
"26.09.2022 22:00 - 26.09.2022 22:15","4635","4908"
"26.09.2022 22:15 - 26.09.2022 22:30","4551","4864"
"26.09.2022 22:30 - 26.09.2022 22:45","4541","4832"
"26.09.2022 22:45 - 26.09.2022 23:00","4469","4751"
"26.09.2022 23:00 - 26.09.2022 23:15","4441","4724"
"26.09.2022 23:15 - 26.09.2022 23:30","4353","4690"
"26.09.2022 23:30 - 26.09.2022 23:45","4346","4660"
"26.09.2022 23:45 - 27.09.2022 00:00","4263","4566"
"27.09.2022 00:00 - 27.09.2022 00:15","4158","4415"
"27.09.2022 00:15 - 27.09.2022 00:30","4105","4363"
"27.09.2022 00:30 - 27.09.2022 00:45","4095","4352"
"27.09.2022 00:45 - 27.09.2022 01:00","4132","4292"
"27.09.2022 01:00 - 27.09.2022 01:15","4090","4249"
"27.09.2022 01:15 - 27.09.2022 01:30","4022","4167"
"27.09.2022 01:30 - 27.09.2022 01:45","3964","4106"
"27.09.2022 01:45 - 27.09.2022 02:00","3970","4056"
"27.09.2022 02:00 - 27.09.2022 02:15","3876","4003"
"27.09.2022 02:15 - 27.09.2022 02:30","3851","3984"
"27.09.2022 02:30 - 27.09.2022 02:45","3808","3973"
"27.09.2022 02:45 - 27.09.2022 03:00","3790","3953"
"27.09.2022 03:00 - 27.09.2022 03:15","3769","3955"
"27.09.2022 03:15 - 27.09.2022 03:30","3773","3953"
"27.09.2022 03:30 - 27.09.2022 03:45","3788","3974"
"27.09.2022 03:45 - 27.09.2022 04:00","3763","3971"
"27.09.2022 04:00 - 27.09.2022 04:15","3812","3989"
"27.09.2022 04:15 - 27.09.2022 04:30","3846","4029"
"27.09.2022 04:30 - 27.09.2022 04:45","3872","4070"
"27.09.2022 04:45 - 27.09.2022 05:00","3891","4121"
"27.09.2022 05:00 - 27.09.2022 05:15","3990","4220"
"27.09.2022 05:15 - 27.09.2022 05:30","4068","4303"
"27.09.2022 05:30 - 27.09.2022 05:45","4174","4414"
"27.09.2022 05:45 - 27.09.2022 06:00","4247","4539"
"27.09.2022 06:00 - 27.09.2022 06:15","4430","4823"
"27.09.2022 06:15 - 27.09.2022 06:30","4603","5009"
"27.09.2022 06:30 - 27.09.2022 06:45","4704","5099"
"27.09.2022 06:45 - 27.09.2022 07:00","4791","5193"
"27.09.2022 07:00 - 27.09.2022 07:15","4939","5293"
"27.09.2022 07:15 - 27.09.2022 07:30","4973","5335"
"27.09.2022 07:30 - 27.09.2022 07:45","5020","5346"
"27.09.2022 07:45 - 27.09.2022 08:00","5067","5348"
"27.09.2022 08:00 - 27.09.2022 08:15","5138","5348"
"27.09.2022 08:15 - 27.09.2022 08:30","5189","5356"
"27.09.2022 08:30 - 27.09.2022 08:45","5216","5371"
"27.09.2022 08:45 - 27.09.2022 09:00","5216","5362"
"27.09.2022 09:00 - 27.09.2022 09:15","5218","5351"
"27.09.2022 09:15 - 27.09.2022 09:30","5178","5342"
"27.09.2022 09:30 - 27.09.2022 09:45","5146","5340"
"27.09.2022 09:45 - 27.09.2022 10:00","5133","5325"
"27.09.2022 10:00 - 27.09.2022 10:15","5065","5352"
"27.09.2022 10:15 - 27.09.2022 10:30","5064","5382"
"27.09.2022 10:30 - 27.09.2022 10:45","5080","5381"
"27.09.2022 10:45 - 27.09.2022 11:00","5070","5352"
"27.09.2022 11:00 - 27.09.2022 11:15","5031","5342"
"27.09.2022 11:15 - 27.09.2022 11:30","4974","5356"
"27.09.2022 11:30 - 27.09.2022 11:45","4945","5333"
"27.09.2022 11:45 - 27.09.2022 12:00","4941","5329"
"27.09.2022 12:00 - 27.09.2022 12:15","4948","5302"
"27.09.2022 12:15 - 27.09.2022 12:30","4989","5294"
"27.09.2022 12:30 - 27.09.2022 12:45","4974","5300"
"27.09.2022 12:45 - 27.09.2022 13:00","4991","5266"
"27.09.2022 13:00 - 27.09.2022 13:15","4954","5240"
"27.09.2022 13:15 - 27.09.2022 13:30","4967","5186"
"27.09.2022 13:30 - 27.09.2022 13:45","4864","5145"
"27.09.2022 13:45 - 27.09.2022 14:00","4853","5051"
"27.09.2022 14:00 - 27.09.2022 14:15","4897","5066"
"27.09.2022 14:15 - 27.09.2022 14:30","4916","5063"
"27.09.2022 14:30 - 27.09.2022 14:45","5031","5066"
"27.09.2022 14:45 - 27.09.2022 15:00","4962","5072"
"27.09.2022 15:00 - 27.09.2022 15:15","4962","5103"
"27.09.2022 15:15 - 27.09.2022 15:30","5043","5125"
"27.09.2022 15:30 - 27.09.2022 15:45","5113","5112"
"27.09.2022 15:45 - 27.09.2022 16:00","5112","5176"
"27.09.2022 16:00 - 27.09.2022 16:15","5055","5208"
"27.09.2022 16:15 - 27.09.2022 16:30","5144","5259"
"27.09.2022 16:30 - 27.09.2022 16:45","5183","5309"
"27.09.2022 16:45 - 27.09.2022 17:00","5129","5304"
"27.09.2022 17:00 - 27.09.2022 17:15","5110","5319"
"27.09.2022 17:15 - 27.09.2022 17:30","5101","5341"
"27.09.2022 17:30 - 27.09.2022 17:45","5088","5349"
"27.09.2022 17:45 - 27.09.2022 18:00","5113","5381"
"27.09.2022 18:00 - 27.09.2022 18:15","5112","5437"
"27.09.2022 18:15 - 27.09.2022 18:30","5143","5507"
"27.09.2022 18:30 - 27.09.2022 18:45","5219","5591"
"27.09.2022 18:45 - 27.09.2022 19:00","5327","5726"
"27.09.2022 19:00 - 27.09.2022 19:15","5443","5784"
"27.09.2022 19:15 - 27.09.2022 19:30","5497","5767"
"27.09.2022 19:30 - 27.09.2022 19:45","5502","5746"
"27.09.2022 19:45 - 27.09.2022 20:00","5486","5708"
"27.09.2022 20:00 - 27.09.2022 20:15","5411","5636"
"27.09.2022 20:15 - 27.09.2022 20:30","5330","5565"
"27.09.2022 20:30 - 27.09.2022 20:45","5253","5507"
"27.09.2022 20:45 - 27.09.2022 21:00","5159","5415"
"27.09.2022 21:00 - 27.09.2022 21:15","5035","5294"
"27.09.2022 21:15 - 27.09.2022 21:30","4941","5191"
"27.09.2022 21:30 - 27.09.2022 21:45","4828","5060"
"27.09.2022 21:45 - 27.09.2022 22:00","4714","4953"
"27.09.2022 22:00 - 27.09.2022 22:15","4644","4882"
"27.09.2022 22:15 - 27.09.2022 22:30","4587","4838"
"27.09.2022 22:30 - 27.09.2022 22:45","4553","4795"
"27.09.2022 22:45 - 27.09.2022 23:00","4479","4719"
"27.09.2022 23:00 - 27.09.2022 23:15","4454","4696"
"27.09.2022 23:15 - 27.09.2022 23:30","4397","4647"
"27.09.2022 23:30 - 27.09.2022 23:45","4363","4633"
"27.09.2022 23:45 - 28.09.2022 00:00","4279","4549"
"28.09.2022 00:00 - 28.09.2022 00:15","4214","4405"
"28.09.2022 00:15 - 28.09.2022 00:30","4174","4366"
"28.09.2022 00:30 - 28.09.2022 00:45","4156","4351"
"28.09.2022 00:45 - 28.09.2022 01:00","4138","4290"
"28.09.2022 01:00 - 28.09.2022 01:15","4074","4239"
"28.09.2022 01:15 - 28.09.2022 01:30","4003","4184"
"28.09.2022 01:30 - 28.09.2022 01:45","3888","4132"
"28.09.2022 01:45 - 28.09.2022 02:00","3849","4072"
"28.09.2022 02:00 - 28.09.2022 02:15","3786","4029"
"28.09.2022 02:15 - 28.09.2022 02:30","3731","4032"
"28.09.2022 02:30 - 28.09.2022 02:45","3710","3983"
"28.09.2022 02:45 - 28.09.2022 03:00","3691","3957"
"28.09.2022 03:00 - 28.09.2022 03:15","3686","3955"
"28.09.2022 03:15 - 28.09.2022 03:30","3685","3953"
"28.09.2022 03:30 - 28.09.2022 03:45","3672","3957"
"28.09.2022 03:45 - 28.09.2022 04:00","3655","3952"
"28.09.2022 04:00 - 28.09.2022 04:15","3696","3985"
"28.09.2022 04:15 - 28.09.2022 04:30","3735","4017"
"28.09.2022 04:30 - 28.09.2022 04:45","3777","4058"
"28.09.2022 04:45 - 28.09.2022 05:00","3838","4117"
"28.09.2022 05:00 - 28.09.2022 05:15","3936","4223"
"28.09.2022 05:15 - 28.09.2022 05:30","4027","4313"
"28.09.2022 05:30 - 28.09.2022 05:45","4147","4427"
"28.09.2022 05:45 - 28.09.2022 06:00","4255","4550"
"28.09.2022 06:00 - 28.09.2022 06:15","4445","4834"
"28.09.2022 06:15 - 28.09.2022 06:30","4602","5009"
"28.09.2022 06:30 - 28.09.2022 06:45","4717","5090"
"28.09.2022 06:45 - 28.09.2022 07:00","4846","5159"
"28.09.2022 07:00 - 28.09.2022 07:15","4986","5258"
"28.09.2022 07:15 - 28.09.2022 07:30","5027","5283"
"28.09.2022 07:30 - 28.09.2022 07:45","4995","5260"
"28.09.2022 07:45 - 28.09.2022 08:00","4948","5207"
"28.09.2022 08:00 - 28.09.2022 08:15","4943","5110"
"28.09.2022 08:15 - 28.09.2022 08:30","4938","5066"
"28.09.2022 08:30 - 28.09.2022 08:45","4898","5015"
"28.09.2022 08:45 - 28.09.2022 09:00","4800","4937"
"28.09.2022 09:00 - 28.09.2022 09:15","4761","4833"
"28.09.2022 09:15 - 28.09.2022 09:30","4708","4696"
"28.09.2022 09:30 - 28.09.2022 09:45","4648","4652"
"28.09.2022 09:45 - 28.09.2022 10:00","4596","4585"
"28.09.2022 10:00 - 28.09.2022 10:15","4497","4480"
"28.09.2022 10:15 - 28.09.2022 10:30","4478","4448"
"28.09.2022 10:30 - 28.09.2022 10:45","4486","4407"
"28.09.2022 10:45 - 28.09.2022 11:00","4402","4386"
"28.09.2022 11:00 - 28.09.2022 11:15","4327","4357"
"28.09.2022 11:15 - 28.09.2022 11:30","4385","4359"
"28.09.2022 11:30 - 28.09.2022 11:45","4377","4333"
"28.09.2022 11:45 - 28.09.2022 12:00","4373","4345"
"28.09.2022 12:00 - 28.09.2022 12:15","4349","4339"
"28.09.2022 12:15 - 28.09.2022 12:30","4269","4369"
"28.09.2022 12:30 - 28.09.2022 12:45","4336","4383"
"28.09.2022 12:45 - 28.09.2022 13:00","4326","4379"
"28.09.2022 13:00 - 28.09.2022 13:15","4408","4385"
"28.09.2022 13:15 - 28.09.2022 13:30","4364","4337"
"28.09.2022 13:30 - 28.09.2022 13:45","4292","4323"
"28.09.2022 13:45 - 28.09.2022 14:00","4289","4255"
"28.09.2022 14:00 - 28.09.2022 14:15","4342","4336"
"28.09.2022 14:15 - 28.09.2022 14:30","4368","4367"
"28.09.2022 14:30 - 28.09.2022 14:45","4373","4498"
"28.09.2022 14:45 - 28.09.2022 15:00","4434","4492"
"28.09.2022 15:00 - 28.09.2022 15:15","4522","4590"
"28.09.2022 15:15 - 28.09.2022 15:30","4631","4678"
"28.09.2022 15:30 - 28.09.2022 15:45","4660","4792"
"28.09.2022 15:45 - 28.09.2022 16:00","4704","4807"
"28.09.2022 16:00 - 28.09.2022 16:15","4795","4884"
"28.09.2022 16:15 - 28.09.2022 16:30","4853","4952"
"28.09.2022 16:30 - 28.09.2022 16:45","4931","5022"
"28.09.2022 16:45 - 28.09.2022 17:00","4978","5072"
"28.09.2022 17:00 - 28.09.2022 17:15","5018","5124"
"28.09.2022 17:15 - 28.09.2022 17:30","5007","5190"
"28.09.2022 17:30 - 28.09.2022 17:45","5019","5231"
"28.09.2022 17:45 - 28.09.2022 18:00","5024","5275"
"28.09.2022 18:00 - 28.09.2022 18:15","5071","5331"
"28.09.2022 18:15 - 28.09.2022 18:30","5126","5425"
"28.09.2022 18:30 - 28.09.2022 18:45","5179","5547"
"28.09.2022 18:45 - 28.09.2022 19:00","5346","5690"
"28.09.2022 19:00 - 28.09.2022 19:15","5521","5734"
"28.09.2022 19:15 - 28.09.2022 19:30","5524","5723"
"28.09.2022 19:30 - 28.09.2022 19:45","5498","5698"
"28.09.2022 19:45 - 28.09.2022 20:00","5475","5669"
"28.09.2022 20:00 - 28.09.2022 20:15","5453","5590"
"28.09.2022 20:15 - 28.09.2022 20:30","5399","5534"
"28.09.2022 20:30 - 28.09.2022 20:45","5320","5480"
"28.09.2022 20:45 - 28.09.2022 21:00","5225","5363"
"28.09.2022 21:00 - 28.09.2022 21:15","5131","5263"
"28.09.2022 21:15 - 28.09.2022 21:30","5001","5169"
"28.09.2022 21:30 - 28.09.2022 21:45","4885","5037"
"28.09.2022 21:45 - 28.09.2022 22:00","4762","4933"
"28.09.2022 22:00 - 28.09.2022 22:15","4690","4862"
"28.09.2022 22:15 - 28.09.2022 22:30","4658","4825"
"28.09.2022 22:30 - 28.09.2022 22:45","4614","4790"
"28.09.2022 22:45 - 28.09.2022 23:00","4535","4725"
"28.09.2022 23:00 - 28.09.2022 23:15","4479","4681"
"28.09.2022 23:15 - 28.09.2022 23:30","4447","4649"
"28.09.2022 23:30 - 28.09.2022 23:45","4414","4620"
"28.09.2022 23:45 - 29.09.2022 00:00","4311","4522"
"29.09.2022 00:00 - 29.09.2022 00:15","4078","4400"
"29.09.2022 00:15 - 29.09.2022 00:30","4029","4348"
"29.09.2022 00:30 - 29.09.2022 00:45","4023","4316"
"29.09.2022 00:45 - 29.09.2022 01:00","4026","4256"
"29.09.2022 01:00 - 29.09.2022 01:15","3981","4214"
"29.09.2022 01:15 - 29.09.2022 01:30","3873","4138"
"29.09.2022 01:30 - 29.09.2022 01:45","3796","4093"
"29.09.2022 01:45 - 29.09.2022 02:00","3791","4037"
"29.09.2022 02:00 - 29.09.2022 02:15","3734","3974"
"29.09.2022 02:15 - 29.09.2022 02:30","3668","3967"
"29.09.2022 02:30 - 29.09.2022 02:45","3636","3934"
"29.09.2022 02:45 - 29.09.2022 03:00","3614","3910"
"29.09.2022 03:00 - 29.09.2022 03:15","3613","3915"
"29.09.2022 03:15 - 29.09.2022 03:30","3604","3917"
"29.09.2022 03:30 - 29.09.2022 03:45","3623","3922"
"29.09.2022 03:45 - 29.09.2022 04:00","3610","3923"
"29.09.2022 04:00 - 29.09.2022 04:15","3632","3968"
"29.09.2022 04:15 - 29.09.2022 04:30","3680","4001"
"29.09.2022 04:30 - 29.09.2022 04:45","3720","4053"
"29.09.2022 04:45 - 29.09.2022 05:00","3773","4120"
"29.09.2022 05:00 - 29.09.2022 05:15","3878","4207"
"29.09.2022 05:15 - 29.09.2022 05:30","3963","4292"
"29.09.2022 05:30 - 29.09.2022 05:45","4079","4390"
"29.09.2022 05:45 - 29.09.2022 06:00","4206","4512"
"29.09.2022 06:00 - 29.09.2022 06:15","4452","4793"
"29.09.2022 06:15 - 29.09.2022 06:30","4655","4975"
"29.09.2022 06:30 - 29.09.2022 06:45","4759","5049"
"29.09.2022 06:45 - 29.09.2022 07:00","4868","5123"
"29.09.2022 07:00 - 29.09.2022 07:15","4975","5230"
"29.09.2022 07:15 - 29.09.2022 07:30","5019","5284"
"29.09.2022 07:30 - 29.09.2022 07:45","5026","5312"
"29.09.2022 07:45 - 29.09.2022 08:00","5025","5324"
"29.09.2022 08:00 - 29.09.2022 08:15","5036","5338"
"29.09.2022 08:15 - 29.09.2022 08:30","5032","5372"
"29.09.2022 08:30 - 29.09.2022 08:45","5050","5387"
"29.09.2022 08:45 - 29.09.2022 09:00","5081","5382"
"29.09.2022 09:00 - 29.09.2022 09:15","5075","5363"
"29.09.2022 09:15 - 29.09.2022 09:30","5066","5334"
"29.09.2022 09:30 - 29.09.2022 09:45","5079","5302"
"29.09.2022 09:45 - 29.09.2022 10:00","5086","5250"
"29.09.2022 10:00 - 29.09.2022 10:15","5043","5221"
"29.09.2022 10:15 - 29.09.2022 10:30","5056","5187"
"29.09.2022 10:30 - 29.09.2022 10:45","5047","5147"
"29.09.2022 10:45 - 29.09.2022 11:00","5029","5135"
"29.09.2022 11:00 - 29.09.2022 11:15","4947","5127"
"29.09.2022 11:15 - 29.09.2022 11:30","4855","5090"
"29.09.2022 11:30 - 29.09.2022 11:45","4841","5016"
"29.09.2022 11:45 - 29.09.2022 12:00","4833","5028"
"29.09.2022 12:00 - 29.09.2022 12:15","4808","4964"
"29.09.2022 12:15 - 29.09.2022 12:30","4800","4912"
"29.09.2022 12:30 - 29.09.2022 12:45","4823","4961"
"29.09.2022 12:45 - 29.09.2022 13:00","4853","4958"
"29.09.2022 13:00 - 29.09.2022 13:15","4841","4955"
"29.09.2022 13:15 - 29.09.2022 13:30","4833","4999"
"29.09.2022 13:30 - 29.09.2022 13:45","4856","4973"
"29.09.2022 13:45 - 29.09.2022 14:00","4824","4864"
"29.09.2022 14:00 - 29.09.2022 14:15","4777","4878"
"29.09.2022 14:15 - 29.09.2022 14:30","4775","4964"
"29.09.2022 14:30 - 29.09.2022 14:45","4782","5006"
"29.09.2022 14:45 - 29.09.2022 15:00","4776","4998"
"29.09.2022 15:00 - 29.09.2022 15:15","4808","5006"
"29.09.2022 15:15 - 29.09.2022 15:30","4832","5030"
"29.09.2022 15:30 - 29.09.2022 15:45","4823","5045"
"29.09.2022 15:45 - 29.09.2022 16:00","4885","5050"
"29.09.2022 16:00 - 29.09.2022 16:15","4910","5086"
"29.09.2022 16:15 - 29.09.2022 16:30","4968","5129"
"29.09.2022 16:30 - 29.09.2022 16:45","5029","5160"
"29.09.2022 16:45 - 29.09.2022 17:00","5020","5179"
"29.09.2022 17:00 - 29.09.2022 17:15","5036","5189"
"29.09.2022 17:15 - 29.09.2022 17:30","5053","5226"
"29.09.2022 17:30 - 29.09.2022 17:45","5060","5258"
"29.09.2022 17:45 - 29.09.2022 18:00","5081","5282"
"29.09.2022 18:00 - 29.09.2022 18:15","5131","5333"
"29.09.2022 18:15 - 29.09.2022 18:30","5207","5408"
"29.09.2022 18:30 - 29.09.2022 18:45","5291","5508"
"29.09.2022 18:45 - 29.09.2022 19:00","5427","5652"
"29.09.2022 19:00 - 29.09.2022 19:15","5496","5697"
"29.09.2022 19:15 - 29.09.2022 19:30","5487","5684"
"29.09.2022 19:30 - 29.09.2022 19:45","5477","5666"
"29.09.2022 19:45 - 29.09.2022 20:00","5448","5614"
"29.09.2022 20:00 - 29.09.2022 20:15","5374","5530"
"29.09.2022 20:15 - 29.09.2022 20:30","5309","5471"
"29.09.2022 20:30 - 29.09.2022 20:45","5257","5416"
"29.09.2022 20:45 - 29.09.2022 21:00","5169","5319"
"29.09.2022 21:00 - 29.09.2022 21:15","5048","5219"
"29.09.2022 21:15 - 29.09.2022 21:30","4945","5115"
"29.09.2022 21:30 - 29.09.2022 21:45","4809","5005"
"29.09.2022 21:45 - 29.09.2022 22:00","4709","4898"
"29.09.2022 22:00 - 29.09.2022 22:15","4634","4841"
"29.09.2022 22:15 - 29.09.2022 22:30","4591","4799"
"29.09.2022 22:30 - 29.09.2022 22:45","4542","4756"
